SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, -0.00887989, -0.00466284, -1.00249422, 0.03422527, -0.64629138, -0.05852697, -37.34737015, -1.81844938, -57.48978043, -0.33723682, 1.11114502, -115.12051392, -0.53640920, 0.00660475, 0.00768485, -0.84389722, 0.02756441, 0.01033784, 0.00268496, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.0200, 1, -0.01068508, -0.00331460, -1.00148284, -0.09661222, -1.40458775, -0.07174515, -37.72445297, -2.75546956, -58.09629440, -0.33892095, 1.08314729, -115.12210083, -0.53639835, 0.00639078, 0.00756612, -0.84390694, 0.02983353, 0.00921911, 0.00168362, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.0400, 2, -0.01170111, -0.00340673, -1.00125790, 0.17275521, -1.13188124, -0.05313903, -37.60842514, -1.90363348, -57.67173004, -0.33555919, 1.06201863, -115.12329102, -0.53638977, 0.00625099, 0.00744240, -0.84391439, 0.03038554, 0.00929556, 0.00144986, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.0600, 3, -0.01085886, -0.00452488, -1.00170827, 0.12904124, -0.21695074, 0.04910783, -37.66643906, -2.52831268, -57.12587738, -0.32328007, 1.03714371, -115.04822540, -0.53694230, 0.00612052, 0.00723956, -0.84356570, 0.02914219, 0.01025430, 0.00189183, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.0800, 4, -0.01116078, -0.00295594, -1.00198543, 0.04078356, -0.39739379, -0.05707160, -37.26034546, -2.86904716, -57.58075333, -0.32222682, 1.02886963, -115.04936981, -0.53693402, 0.00606462, 0.00719298, -0.84357184, 0.02920061, 0.00859267, 0.00216407, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.1000, 5, -0.01128009, -0.00395653, -1.00150919, 0.13990998, -0.25659406, -0.02226928, -37.28935623, -1.73326623, -57.00457001, -0.27473545, 0.88882315, -114.94720459, -0.53768647, 0.00525063, 0.00619189, -0.84310591, 0.02916925, 0.00955890, 0.00168489, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.1200, 6, -0.01075497, -0.00295650, -1.00119877, -0.08607718, -0.03105755, 0.00127592, -36.94127274, -2.61349678, -57.03490067, -0.27679357, 0.88851917, -114.94749451, -0.53768438, 0.00523876, 0.00620559, -0.84310710, 0.02626090, 0.00777029, 0.00133048, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.1400, 7, -0.01106855, -0.00405007, -1.00121307, -0.03542257, -0.03030379, -0.01924380, -37.81147385, -2.01721191, -57.70206070, -0.27760985, 0.88805956, -114.94780731, -0.53768212, 0.00523156, 0.00620942, -0.84310859, 0.02657367, 0.00888634, 0.00134500, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.1600, 8, -0.01120976, -0.00421489, -1.00159979, -0.05490284, -0.09030704, 0.01792682, -37.66643906, -2.21597362, -57.24718475, -0.26459032, 0.83819950, -114.85140228, -0.53839153, 0.00492085, 0.00588383, -0.84265989, 0.02622509, 0.00892756, 0.00172373, 101.81100464, -40.37772369, 22.62999916, 0.00000000
1, 0.1800, 9, -0.01143763, -0.00363274, -1.00124311, -0.10719954, 0.03829465, -0.04479485, -37.26034546, -1.79005504, -57.33815765, -0.26702496, 0.83875710, -114.85250854, -0.53838348, 0.00491357, 0.00590431, -0.84266502, 0.02606791, 0.00826717, 0.00136086, 101.81100464, -40.37772369, 22.62999916, 0.00000000
