SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.00381344, -0.04070285, 0.99923199, -0.02454205, 0.00041254, 0.00811574, -12.69179726, -2.89744139, 14.77622700, 0.68800551, 1.41043758, 83.29257202, 0.74724072, 0.00369276, -0.01318668, -0.66441244, 0.01968374, -0.00381403, 0.00039763, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.0200, 1, 0.00443279, -0.04274720, 0.99980050, -0.08580308, 0.08945818, 0.02455888, -12.34371662, -3.69248891, 14.95818138, 0.67656636, 1.39850569, 83.27553558, 0.74733973, 0.00369622, -0.01304311, -0.66430390, 0.01893368, -0.00569521, 0.00106000, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.0400, 2, 0.00458777, -0.04265897, 0.99898058, 0.06790213, -0.03763274, 0.00658539, -12.31471348, -3.57891035, 14.77622700, 0.67741394, 1.39874685, 83.27560425, 0.74733931, 0.00369210, -0.01304960, -0.66430420, 0.01869010, -0.00557641, 0.00023346, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.0600, 3, 0.00509098, -0.04063462, 0.99853522, 0.05751896, -0.01788265, -0.00226958, -12.31471348, -3.52212167, 14.80655289, 0.68935442, 1.43241787, 83.27072906, 0.74736643, 0.00380889, -0.01333854, -0.66426736, 0.01819695, -0.00358519, -0.00031052, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.0800, 4, 0.00440993, -0.04049967, 0.99946243, -0.06522445, 0.06986094, 0.00353366, -12.51775742, -3.06780863, 14.44264698, 0.68751943, 1.43095422, 83.27076721, 0.74736619, 0.00381237, -0.01331836, -0.66426796, 0.01944774, -0.00359752, 0.00062608, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.1000, 5, 0.00451794, -0.04202713, 0.99944299, 0.04903768, 0.00951301, 0.03838106, -12.34371662, -3.80606627, 14.16971302, 0.68840557, 1.43054175, 83.26982117, 0.74737173, 0.00380409, -0.01332084, -0.66426176, 0.01932415, -0.00510759, 0.00068060, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.1200, 6, 0.00409426, -0.04190428, 0.99862283, 0.05284438, -0.06413627, 0.01278348, -12.80782318, -4.40235090, 14.62459850, 0.69595659, 1.45696032, 83.27232361, 0.74735624, 0.00390831, -0.01353681, -0.66427422, 0.02000252, -0.00511389, -0.00013665, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.1400, 7, 0.00390378, -0.04228079, 0.99914187, -0.00993478, 0.08421226, -0.01913740, -12.63378239, -3.80606627, 15.07948303, 0.69619423, 1.45579028, 83.27230072, 0.74735641, 0.00389997, -0.01353055, -0.66427416, 0.02037978, -0.00552084, 0.00040596, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.1600, 8, 0.00446647, -0.04193218, 0.99984616, -0.05924279, 0.00386618, -0.08161154, -12.92384911, -3.35175443, 14.83687973, 0.67564481, 1.40670311, 83.25895691, 0.74743533, 0.00374787, -0.01309177, -0.66419494, 0.01980983, -0.00514023, 0.00109135, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.1800, 9, 0.00378210, -0.04239095, 0.99940258, 0.00118528, 0.00475897, 0.03652534, -12.63378239, -3.15299273, 15.20078564, 0.67571396, 1.40674222, 83.25859070, 0.74743742, 0.00374760, -0.01309243, -0.66419262, 0.01963144, -0.00525906, 0.00064568, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.2000, 10, 0.00446055, -0.04050304, 0.99885088, 0.00224487, -0.05493366, -0.04554789, -12.45974255, -3.46533179, 14.35167217, 0.67583942, 1.40804887, 83.25942993, 0.74743259, 0.00375445, -0.01310166, -0.66419792, 0.01896765, -0.00340861, 0.00000208, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.2200, 11, 0.00402037, -0.04158684, 0.99764818, 0.00374632, 0.02361370, 0.01141168, -12.25669861, -3.09620309, 14.71557713, 0.68234485, 1.43765497, 83.25357819, 0.74746531, 0.00388297, -0.01333264, -0.66415572, 0.01972214, -0.00461144, -0.00113712, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.2400, 12, 0.00465756, -0.04161133, 0.99948341, -0.03704404, 0.05286565, -0.03622354, -12.57577133, -3.60730481, 15.01883030, 0.68230051, 1.43687499, 83.25399780, 0.74746293, 0.00387879, -0.01332729, -0.66415852, 0.01928779, -0.00458467, 0.00070185, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.2600, 13, 0.00451907, -0.04162373, 1.00002491, 0.02494317, -0.04573605, 0.02774065, -12.43073845, -3.57891035, 15.01883030, 0.69483811, 1.47570467, 83.24919128, 0.74748939, 0.00402152, -0.01365337, -0.66412133, 0.01942954, -0.00458202, 0.00124357, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.2800, 14, 0.00393763, -0.04100431, 0.99950784, 0.01470893, -0.02598107, -0.04059784, -12.72080517, -3.74927759, 14.29101849, 0.69517320, 1.47597873, 83.24994659, 0.74748498, 0.00402102, -0.01365707, -0.66412622, 0.02069071, -0.00420918, 0.00071759, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.3000, 15, 0.00430265, -0.04189027, 0.99801165, -0.02637930, 0.00326110, 0.03073404, -12.69179726, -3.01101995, 13.98776150, 0.69422954, 1.47553444, 83.24964142, 0.74748671, 0.00402456, -0.01364871, -0.66412437, 0.02032548, -0.00516308, -0.00073409, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.3200, 16, 0.00458833, -0.04201176, 0.99953061, 0.01169780, 0.01883316, 0.02153317, -13.03987408, -3.23817587, 14.38199425, 0.67660260, 1.37577820, 83.22781372, 0.74761730, 0.00355884, -0.01289660, -0.66399515, 0.01903324, -0.00502372, 0.00076139, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.3400, 17, 0.00514959, -0.04137903, 0.99995857, 0.06255949, -0.01026997, 0.08885788, -12.72080517, -3.03941441, 13.86645603, 0.67771399, 1.37587380, 83.22613525, 0.74762702, 0.00355195, -0.01290372, -0.66398400, 0.01772529, -0.00424721, 0.00113737, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.3600, 18, 0.00453574, -0.04192618, 0.99958402, 0.08349960, -0.04976448, 0.03717028, -13.21391487, -3.32335997, 14.35167217, 0.67602998, 1.35441720, 83.21041870, 0.74771899, 0.00343684, -0.01275446, -0.66388398, 0.01835480, -0.00484241, 0.00079142, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.3800, 19, 0.00369089, -0.04154381, 0.99880177, 0.03386038, -0.10025773, -0.06357867, -12.57577133, -3.20978141, 13.92710876, 0.67669702, 1.35601223, 83.21138000, 0.74771333, 0.00344184, -0.01276870, -0.66389000, 0.01883719, -0.00446334, -0.00001682, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.4000, 20, 0.00416679, -0.04204094, 0.99928516, 0.03338023, -0.07040980, -0.04236991, -12.66279030, -3.77767205, 13.44190121, 0.67734295, 1.35706329, 83.21179199, 0.74771094, 0.00344376, -0.01277929, -0.66389251, 0.01838198, -0.00494463, 0.00049038, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.4200, 21, 0.00570904, -0.04102501, 0.99966687, -0.05160290, 0.01198374, 0.01081882, -12.98186302, -3.18138719, 14.07873726, 0.66536242, 1.33832264, 83.21326447, 0.74770290, 0.00341351, -0.01258757, -0.66390544, 0.01666150, -0.00379913, 0.00081460, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.4400, 22, 0.00439593, -0.04174086, 0.99983078, -0.06401051, 0.02408426, 0.00140834, -12.83683014, -4.23198462, 14.59427547, 0.66408437, 1.33784270, 83.21330261, 0.74770260, 0.00341907, -0.01257703, -0.66390586, 0.01782778, -0.00440941, 0.00101048, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.4600, 23, 0.00346334, -0.04218049, 0.99854881, -0.05340936, -0.00561325, -0.01993881, -12.60477543, -3.94803905, 14.07873726, 0.65425372, 1.27682936, 83.21784210, 0.74767852, 0.00313015, -0.01212189, -0.66394287, 0.01875159, -0.00487737, -0.00024829, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.4800, 24, 0.00293613, -0.04186373, 0.99835998, 0.01753143, -0.01451176, -0.00153990, -12.98186302, -3.80606627, 14.26068783, 0.65476644, 1.27737713, 83.21811676, 0.74767691, 0.00313000, -0.01212842, -0.66394454, 0.01821788, -0.00441342, -0.00047764, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.5000, 25, 0.00482939, -0.04232373, 0.99798912, 0.02750891, -0.00441148, -0.00121798, -13.03987408, -3.52212167, 14.56394482, 0.65527171, 1.27740145, 83.21837616, 0.74767548, 0.00312687, -0.01213150, -0.66394621, 0.01633748, -0.00490437, -0.00082726, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.5200, 26, 0.00502516, -0.04239535, 0.99884456, 0.02036360, 0.03567903, 0.00189280, -12.43073845, -4.54432392, 14.35167217, 0.66483033, 1.31507766, 83.22750854, 0.74762130, 0.00328383, -0.01243242, -0.66400087, 0.01651327, -0.00503147, 0.00004004, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.5400, 27, 0.00476081, -0.04089525, 0.99930042, -0.04987483, 0.09450343, -0.01375214, -12.48874950, -3.43693757, 14.74590015, 0.66364568, 1.31338334, 83.22803497, 0.74761826, 0.00328179, -0.01241449, -0.66400462, 0.01704235, -0.00357414, 0.00042899, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.5600, 28, 0.00476298, -0.04096171, 0.99992877, -0.03944745, 0.06480021, 0.03429818, -12.80782318, -3.03941441, 13.92710876, 0.65424562, 1.30160546, 83.20831299, 0.74773276, 0.00327275, -0.01228375, -0.66387808, 0.01701521, -0.00359031, 0.00105893, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.5800, 29, 0.00365742, -0.04210326, 0.99896926, 0.01247384, -0.02399554, 0.01954967, -12.66279030, -3.43693757, 14.38199425, 0.65501463, 1.30244637, 83.20751953, 0.74773735, 0.00327252, -0.01229372, -0.66387278, 0.01792645, -0.00461685, 0.00015139, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.6000, 30, 0.00434388, -0.04207026, 0.99980909, 0.04327274, -0.04343909, -0.04126964, -12.95285606, -3.06780863, 14.35167217, 0.65546829, 1.30318260, 83.20845032, 0.74773192, 0.00327392, -0.01230112, -0.66387874, 0.01726072, -0.00456617, 0.00098872, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.6200, 31, 0.00462213, -0.04061497, 0.99995047, 0.00098979, 0.07224416, 0.01330386, -12.98186302, -3.40854311, 14.68525124, 0.64711976, 1.29314184, 83.19911957, 0.74778616, 0.00326923, -0.01218751, -0.66381979, 0.01689195, -0.00302516, 0.00105535, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.6400, 32, 0.00481541, -0.04145748, 0.99959034, -0.11939197, 0.00841369, -0.05799996, -13.15590000, -3.29496479, 14.95818138, 0.64455891, 1.29283130, 83.20054626, 0.74777782, 0.00328429, -0.01217061, -0.66382939, 0.01661921, -0.00380115, 0.00073389, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.6600, 33, 0.00456723, -0.04179846, 0.99855489, 0.03179380, 0.04051312, 0.02061676, -12.60477543, -3.46533179, 14.62459850, 0.65263528, 1.30698681, 83.19299316, 0.74782127, 0.00331279, -0.01230997, -0.66377783, 0.01685344, -0.00417545, -0.00028399, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.6800, 34, 0.00419995, -0.04106811, 0.99926275, 0.03294180, -0.03908573, 0.01693433, -12.69179726, -3.77767205, 14.62459850, 0.65324807, 1.30779850, 83.19310760, 0.74782056, 0.00331351, -0.01231882, -0.66377836, 0.01748239, -0.00355318, 0.00039537, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.7000, 35, 0.00477733, -0.04111091, 0.99886078, -0.00844737, 0.02996482, -0.01894575, -12.86583805, -2.84065270, 14.80655289, 0.65313262, 1.30705738, 83.19332886, 0.74781924, 0.00330999, -0.01231331, -0.66377991, 0.01691202, -0.00362183, -0.00000442, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.7200, 36, 0.00395632, -0.04209185, 0.99923187, -0.15131775, 0.01252799, -0.09119775, -12.69179726, -3.38014865, 14.29101849, 0.65187126, 1.32035100, 83.16873932, 0.74796110, 0.00339258, -0.01239347, -0.66361821, 0.01785660, -0.00456361, 0.00041769, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.7400, 37, 0.00491899, -0.04208013, 0.99872619, 0.03219805, -0.01180707, 0.03175522, -12.95285606, -2.67028546, 14.16971302, 0.65266848, 1.32049596, 83.16771698, 0.74796706, 0.00338811, -0.01239906, -0.66361147, 0.01698979, -0.00457537, -0.00008685, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.7600, 38, 0.00427152, -0.04166066, 0.99936002, 0.02277518, -0.05175286, -0.01951727, -12.60477543, -3.23817587, 14.86720562, 0.66185051, 1.30400848, 83.15335083, 0.74805123, 0.00323113, -0.01234504, -0.66351837, 0.01764888, -0.00413560, 0.00052678, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.7800, 39, 0.00446594, -0.04201417, 0.99963516, 0.02258204, -0.04180463, 0.00077089, -12.60477543, -4.17519522, 15.32208729, 0.66215903, 1.30507815, 83.15354156, 0.74805009, 0.00323533, -0.01235380, -0.66351944, 0.01716939, -0.00463372, 0.00081414, 101.81400299, -40.62634277, 26.25000000, 0.00000000
1, 0.8000, 40, 0.00450077, -0.04209816, 0.99951190, -0.00854809, 0.00749175, 0.02331537, -13.38795471, -3.03941441, 15.10980988, 0.66154897, 1.30508864, 83.15300751, 0.74805313, 0.00323932, -0.01235035, -0.66351599, 0.01714250, -0.00473019, 0.00069527, 101.81400299, -40.62634277, 26.25000000, 0.00000000
